social_sustainability,economic_sustainability,overall_sustainability,final_farmers_pct,mean_displacement_rate,land_appreciation_pct,final_gini,production_retention_pct,mean_volatility,regime,protection_index,experiment,policy_scenario,replication,seed
48.9725,19.17402796005144,19.073263980025715,0.0,3.4249999999999994,1920.767588356854,0.0,0.0,0.041298601997428123,moderate,0.0,A_gradient,no_protection,0,754400410
48.989999999999995,19.135696786449518,19.062848393224755,0.0,3.3666666666666663,2221.3383252698845,0.0,0.0,0.04321516067752409,moderate,0.0,A_gradient,no_protection,1,928149750
49.04,19.135253238253917,19.087626619126958,0.0,3.2,2221.132011521544,0.0,0.0,0.0432373380873042,moderate,0.0,A_gradient,no_protection,2,1087152646
48.989999999999995,19.177072783605254,19.083536391802625,0.0,3.3666666666666663,1895.784890677243,0.0,0.0,0.04114636081973729,moderate,0.0,A_gradient,no_protection,3,1533668970
48.9875,19.15449017265269,19.07099508632634,0.0,3.375000000000001,2072.716958928768,0.0,0.0,0.04227549136736567,moderate,0.0,A_gradient,no_protection,4,804325351
48.97,19.17272355034957,19.071361775174786,0.0,3.4333333333333336,1930.703181300337,0.0,0.0,0.04136382248252142,moderate,0.0,A_gradient,no_protection,5,877939593
48.955,19.13200234839769,19.043501174198845,0.0,3.4833333333333343,2251.4057597293254,0.0,0.0,0.043399882580115394,moderate,0.0,A_gradient,no_protection,6,1137351033
49.205,19.16684447913031,19.18592223956516,0.0,2.6500000000000004,1976.263323020897,0.0,0.0,0.04165777604348453,moderate,0.0,A_gradient,no_protection,7,1483724055
49.105,19.148908812123583,19.12695440606179,0.0,2.9833333333333334,2114.8340957322757,0.0,0.0,0.04255455939382092,moderate,0.0,A_gradient,no_protection,8,721111656
48.995,19.135821898456882,19.065410949228436,0.0,3.35,2219.274562479018,0.0,0.0,0.04320890507715593,moderate,0.0,A_gradient,no_protection,9,828245512
48.9,19.172704955649976,19.03635247782499,0.0,3.6666666666666665,1937.1282308834143,0.0,0.0,0.04136475221750123,moderate,0.0,A_gradient,no_protection,10,386152087
49.120000000000005,19.14371778579034,19.131858892895174,0.0,2.933333333333333,2153.6170878702083,0.0,0.0,0.04281411071048307,moderate,0.0,A_gradient,no_protection,11,211909369
49.074999999999996,19.128857593359626,19.101928796679815,0.0,3.0833333333333335,2279.8889412306326,0.0,0.0,0.0435571203320187,moderate,0.0,A_gradient,no_protection,12,2067769353
49.06999999999999,19.16107975701381,19.1155398785069,0.0,3.1000000000000005,2016.2199160013379,0.0,0.0,0.04194601214930976,moderate,0.0,A_gradient,no_protection,13,1620763751
48.989999999999995,19.16341570294163,19.076707851470815,0.0,3.3666666666666663,2004.3413141692754,0.0,0.0,0.04182921485291856,moderate,0.0,A_gradient,no_protection,14,335678954
49.0225,19.149819773291952,19.086159886645973,0.0,3.2583333333333333,2112.2789812800866,0.0,0.0,0.04250901133540246,moderate,0.0,A_gradient,no_protection,15,262619526
49.1075,19.14379719834349,19.125648599171747,0.0,2.975,2154.3010051257697,0.0,0.0,0.042810140082825715,moderate,0.0,A_gradient,no_protection,16,2017039222
48.925,19.155281856037462,19.04014092801873,0.0,3.5833333333333335,2062.65445705097,0.0,0.0,0.04223590719812701,moderate,0.0,A_gradient,no_protection,17,1671225114
48.9875,19.143555780007144,19.065527890003573,0.0,3.3749999999999996,2154.5563794262644,0.0,0.0,0.042822210999642785,moderate,0.0,A_gradient,no_protection,18,285753449
49.037499999999994,19.1427628318893,19.090131415944647,0.0,3.208333333333333,2160.8387282876815,0.0,0.0,0.042861858405535185,moderate,0.0,A_gradient,no_protection,19,179112967
49.074999999999996,19.164139620416794,19.119569810208397,0.0,3.0833333333333335,1989.7149184177333,0.0,0.0,0.04179301897916047,moderate,0.0,A_gradient,no_protection,20,718166616
48.9825,19.161511475413235,19.07200573770662,0.0,3.391666666666667,2020.9713688867719,0.0,0.0,0.04192442622933834,moderate,0.0,A_gradient,no_protection,21,829101624
48.9075,19.156320826462665,19.03191041323133,0.0,3.6416666666666666,2061.6221784554623,0.0,0.0,0.04218395867686688,moderate,0.0,A_gradient,no_protection,22,1190511816
49.015,19.168393821876105,19.091696910938055,0.0,3.283333333333334,1968.02394387789,0.0,0.0,0.041580308906194706,moderate,0.0,A_gradient,no_protection,23,1565558952
49.035,19.17766381902976,19.10633190951488,0.0,3.216666666666667,1897.2177700232946,0.0,0.0,0.04111680904851202,moderate,0.0,A_gradient,no_protection,24,700997927
49.209999999999994,19.145787019988695,19.177893509994348,0.0,2.6333333333333333,2137.125426948299,0.0,0.0,0.04271064900056529,moderate,0.0,A_gradient,no_protection,25,846015817
49.074999999999996,19.16152218506854,19.11826109253427,0.0,3.0833333333333335,2019.070321546504,0.0,0.0,0.04192389074657297,moderate,0.0,A_gradient,no_protection,26,1173618617
48.9875,19.21325963630815,19.100379818154074,0.0,3.3749999999999996,1650.2482917463221,0.0,0.0,0.03933701818459261,moderate,0.0,A_gradient,no_protection,27,1582740439
49.105,19.15277030259602,19.128885151298007,0.0,2.9833333333333334,2079.412728306823,0.0,0.0,0.04236148487019894,moderate,0.0,A_gradient,no_protection,28,750922918
49.16499999999999,19.146416046202717,19.155708023101354,0.0,2.7833333333333337,2128.607190650596,0.0,0.0,0.042679197689864286,moderate,0.0,A_gradient,no_protection,29,929521866
52.06229593189828,39.933808490999496,30.998052211448886,20.0,2.4416666666666664,1865.55733862052,0.36026020340508613,31.88259754965604,0.040961526443146115,moderate,0.27,A_gradient,weak_protection,0,1463266924
51.043302234969,35.32624811602268,28.184775175495844,20.0,2.7333333333333334,1952.0438375455751,0.40683488825155023,20.392934851839577,0.04154629123565736,moderate,0.27,A_gradient,weak_protection,1,1284694532
52.82564409000199,36.048852108441885,29.437248099221932,20.0,3.1083333333333334,1812.9840184536836,0.31209279549990043,22.150445069960963,0.04056629597712527,moderate,0.27,A_gradient,weak_protection,2,990654708
51.171281187466604,35.99860584518585,28.584943516326227,20.0,2.933333333333333,1811.1549068168183,0.3974359406266701,22.024551744433218,0.04056074262937191,moderate,0.27,A_gradient,weak_protection,3,547978396
53.716788173456735,35.428817697602994,29.572802935529864,20.0,2.841666666666667,1915.373695123444,0.2715355913271631,20.6368302787242,0.04129572069433452,moderate,0.27,A_gradient,weak_protection,4,1412535571
54.431394547814136,35.47751659748884,29.954455572651483,20.0,2.525,1808.9870635317052,0.24055527260929344,20.72228028323127,0.040569775790183726,moderate,0.27,A_gradient,weak_protection,5,1335155069
50.358064839975846,34.24247958184173,27.300272210908787,20.0,2.7333333333333334,1924.9119492154737,0.44109675800120773,17.676182411925524,0.04139966914642421,moderate,0.27,A_gradient,weak_protection,6,940182413
48.73760331324911,33.68953161510487,26.21356746417699,20.0,2.8833333333333337,1862.3196461251596,0.5198698343375445,16.270378405382157,0.040930987352399764,moderate,0.27,A_gradient,weak_protection,7,598689763
55.99358017400702,35.34915819380721,30.671369183907117,20.0,2.5083333333333337,1786.6712337181568,0.1626959912996493,20.393040727467437,0.04040290485898844,moderate,0.27,A_gradient,weak_protection,8,1362876562
53.692781849438155,35.67970333107131,29.686242590254736,20.0,2.8916666666666666,1905.5422007335653,0.2719859075280924,21.26146004895061,0.04124403442544698,moderate,0.27,A_gradient,weak_protection,9,1251906814
49.83331222381857,34.576656686941305,27.204984455379936,20.0,2.8333333333333335,1803.1873751512344,0.46583438880907146,18.46673179036681,0.04050180146027128,moderate,0.27,A_gradient,weak_protection,10,1512632471
54.96582362559078,36.16951671088385,30.567670168237314,20.0,2.5833333333333335,1877.3240881937352,0.21295881872046074,22.474255500115863,0.04100927445812511,moderate,0.27,A_gradient,weak_protection,11,1099807993
51.70818534292674,36.63620126585353,29.172193304390134,20.0,2.8833333333333337,1864.0656420397374,0.3713407328536631,23.63610568608829,0.04091205042908909,moderate,0.27,A_gradient,weak_protection,12,907243017
51.96983677761159,35.95997963278314,28.96490820519736,20.0,2.7333333333333334,1802.3113541409336,0.3605081611194203,21.924813916832495,0.04049729669749316,moderate,0.27,A_gradient,weak_protection,13,766911079
52.26738043453895,35.05274522003626,28.660062827287604,20.0,2.3500000000000005,1795.4556886169253,0.3513809782730526,19.654849130174174,0.04045972160167092,moderate,0.27,A_gradient,weak_protection,14,1496239080
52.96583718999462,36.47770045586287,29.72176882292875,20.0,2.7583333333333337,1943.7003084488779,0.31033314050026894,23.268725946413277,0.041489496135121824,moderate,0.27,A_gradient,weak_protection,15,1116440456
52.85335769582092,35.446893098978684,29.150125397399805,20.0,3.2750000000000004,1848.4519781074064,0.3082071152089543,20.658388087857517,0.04082310680821621,moderate,0.27,A_gradient,weak_protection,16,890590584
51.366888025511585,36.39392639081053,28.88040720816106,20.0,2.933333333333333,1933.7734030651197,0.38765559872442124,23.05601235906407,0.041423927640755205,moderate,0.27,A_gradient,weak_protection,17,783292696
52.192259450101545,38.13709622587139,30.164677837986467,20.0,2.9083333333333337,1872.7693502709951,0.3467620274949228,27.39286084447813,0.04100240559599332,moderate,0.27,A_gradient,weak_protection,18,1545897577
51.50081672331918,39.13755446045624,30.319185591887717,20.0,2.2583333333333333,1923.3484976583334,0.3910841638340412,29.91260452696957,0.041374367516579226,moderate,0.27,A_gradient,weak_protection,19,1199688199
52.32876150939011,39.18020772431515,30.754484616852636,20.0,2.975,1840.0879628348143,0.3389369245304945,29.98970256600739,0.040783665104390104,moderate,0.27,A_gradient,weak_protection,20,1742904410
50.95567929369456,38.763963544581,29.85982141913778,20.0,2.8916666666666666,1813.0734240056308,0.40884103531527227,28.937117731380656,0.040544177398563336,moderate,0.27,A_gradient,weak_protection,21,2085081142
51.64756113018448,32.603220819220645,27.12539097470256,20.0,2.891666666666667,1861.9239872166393,0.37424694349077603,13.554000394860067,0.040918966936169164,moderate,0.27,A_gradient,weak_protection,22,198771398
52.25361404452792,36.14901086687644,29.20131245570218,20.0,3.1583333333333337,1790.2988871983287,0.3399442977736036,22.394074641144275,0.0404309494790639,moderate,0.27,A_gradient,weak_protection,23,276582058
51.31640738336796,38.330588828820964,29.823498106094462,20.0,2.8833333333333333,1968.7132342343084,0.39092963083160215,27.909513260352497,0.041660823766002046,moderate,0.27,A_gradient,weak_protection,24,1692706599
51.5947387151304,36.264110799443,28.929424757286696,20.0,3.158333333333333,1993.4931513552372,0.37288806424348,22.751478377521046,0.041824027578270855,moderate,0.27,A_gradient,weak_protection,25,2135026505
51.7900831822232,36.76120462027659,29.275643901249893,20.0,2.4749999999999996,1790.5635873910242,0.37337084088883965,23.924889480899623,0.040437558604163336,moderate,0.27,A_gradient,weak_protection,26,148847033
53.50078453520187,32.99474114931233,28.247762842257103,20.0,2.825,2066.318290443438,0.2825857732399062,14.601618371175535,0.04229530995789401,moderate,0.27,A_gradient,weak_protection,27,326792663
50.600665248809136,36.646955944180036,28.623810596494586,20.0,2.925,1776.2557366742801,0.4260917375595432,23.63186543994352,0.04028951158986863,moderate,0.27,A_gradient,weak_protection,28,1643047592
50.520534997770724,35.70492456934832,28.112729783559523,20.0,2.8000000000000003,1857.4468777638926,0.4319732501114635,21.307759351018333,0.04090895855295058,moderate,0.27,A_gradient,weak_protection,29,2051778248
62.193631134685226,53.83695378256015,43.01529245862269,40.0,2.4833333333333334,1304.054566704036,0.3530684432657385,46.41022680074414,0.03635684688687534,moderate,0.54,A_gradient,moderate_protection,0,1653034608
60.941883825453466,52.12961621949847,41.535750022475966,40.0,2.4833333333333334,1385.3845342515406,0.41565580872732655,42.18140950771678,0.037147379179412396,moderate,0.54,A_gradient,moderate_protection,1,2032271872
61.626002880146814,52.983578176713365,42.30479052843009,40.0,2.516666666666667,1339.6316785970184,0.3809498559926594,44.29402308408167,0.036701552845965234,moderate,0.54,A_gradient,moderate_protection,2,247255280
63.10724292641558,52.48621603271769,42.796729479566636,40.0,2.6166666666666667,1309.6304998986993,0.3053878536792207,43.036010520489434,0.03640940877390429,moderate,0.54,A_gradient,moderate_protection,3,354000032
63.08748837062887,51.05711342171765,42.07230089617326,40.0,2.416666666666667,1365.3807926978698,0.3093755814685568,39.49013570505781,0.03694704301527388,moderate,0.54,A_gradient,moderate_protection,4,1635874065
61.75178784721813,49.907461462130655,40.82962465467439,40.0,2.616666666666667,1325.8715061856192,0.3731606076390932,36.59792398073286,0.036585406508124585,moderate,0.54,A_gradient,moderate_protection,5,2049194367
62.943195601697454,53.12844415874525,43.035819880221354,40.0,2.3916666666666675,1357.5645158560715,0.31696521991512716,44.66590841808819,0.03689596042450141,moderate,0.54,A_gradient,moderate_protection,6,230353807
63.638933571596866,51.69134578862894,42.6651396801129,40.0,1.975,1278.2142274720743,0.28842832142015684,41.03483988268831,0.03612950822231942,moderate,0.54,A_gradient,moderate_protection,7,371173345
62.32881464877796,52.31318618093142,42.32100041485469,40.0,2.2000000000000006,1359.4934710746588,0.35055926756110245,42.62855628782349,0.036911816709899285,moderate,0.54,A_gradient,moderate_protection,8,1686845586
62.47650593314144,51.303046513900014,41.88977622352073,40.0,1.925,1327.068040032097,0.3472997033429279,40.08808007145176,0.03660927573403458,moderate,0.54,A_gradient,moderate_protection,9,2133751038
61.191811327081716,50.52711409394297,40.85946271051235,40.0,2.6833333333333336,1336.020798195566,0.4001594336459142,38.151292836489795,0.036670152032647604,moderate,0.54,A_gradient,moderate_protection,10,1133777358
62.719678373752856,49.68849232491226,41.20408534933256,40.0,2.4250000000000007,1401.9776716501553,0.32764108131235736,36.08695945989119,0.037314572952210856,moderate,0.54,A_gradient,moderate_protection,11,1479630242
