n_reps,retencao_media,retencao_ep,apreciacao_media,sustentabilidade_media,sustentabilidade_ep,variacao_retencao_pct
10,40.0,0.0,1334.6237980850042,41.85884558460057,0.31229216966778583,
20,40.1,0.09999999999999998,1341.5150405201175,41.935024586385495,0.23563578032652943,0.24999999999999467
30,40.2,0.11141720290623111,1331.1114671921323,42.313932118030394,0.21146059000957768,0.24937655860348684
