social_sustainability,economic_sustainability,overall_sustainability,final_farmers_pct,mean_displacement_rate,land_appreciation_pct,final_gini,production_retention_pct,mean_volatility,regime,protection_index,regime_abm1,policy_scenario,replication
48.95,19.13394131158126,19.041970655790635,0.0,3.4999999999999996,2233.4856937374407,0.0,0.0,0.04330293442093709,moderate,0.0,MODERATE,no_protection,0
48.989999999999995,19.147051834590666,19.068525917295332,0.0,3.3666666666666663,2132.5338701269034,0.0,0.0,0.04264740827046669,moderate,0.0,MODERATE,no_protection,1
49.01,19.15620843129366,19.083104215646827,0.0,3.3000000000000003,2053.6271893075136,0.0,0.0,0.04218957843531697,moderate,0.0,MODERATE,no_protection,2
49.03,19.15157277580595,19.090786387902973,0.0,3.233333333333334,2094.54632426711,0.0,0.0,0.042421361209702475,moderate,0.0,MODERATE,no_protection,3
49.074999999999996,19.155309392242064,19.11515469612103,0.0,3.0833333333333335,2064.8071398734496,0.0,0.0,0.042234530387896776,moderate,0.0,MODERATE,no_protection,4
49.095,19.174295341737274,19.134647670868638,0.0,3.0166666666666666,1917.2929446788776,0.0,0.0,0.041285232913136335,moderate,0.0,MODERATE,no_protection,5
48.995,19.157933057758413,19.07646652887921,0.0,3.35,2045.8143535455406,0.0,0.0,0.042103347112079456,moderate,0.0,MODERATE,no_protection,6
48.9875,19.158447714932166,19.07297385746608,0.0,3.375000000000001,2043.0647861805728,0.0,0.0,0.04207761425339187,moderate,0.0,MODERATE,no_protection,7
48.932500000000005,19.142298044413167,19.037399022206586,0.0,3.5583333333333336,2168.6098579544887,0.0,0.0,0.04288509777934169,moderate,0.0,MODERATE,no_protection,8
49.037499999999994,19.16142309732452,19.099461548662255,0.0,3.208333333333333,2013.8753826403104,0.0,0.0,0.04192884513377409,moderate,0.0,MODERATE,no_protection,9
49.065,19.146685045309464,19.105842522654733,0.0,3.1166666666666667,2134.116303761325,0.0,0.0,0.04266574773452691,moderate,0.0,MODERATE,no_protection,10
49.2125,19.14618419764262,19.17934209882131,0.0,2.6250000000000004,2133.7362906975704,0.0,0.0,0.042690790117869096,moderate,0.0,MODERATE,no_protection,11
